Name,Key Snippet (Clickbait) Torture,Key Snippet (Clickbait) Humanizing,Text of Experiences,Country,Gender,Profession,Age,Source,Link to picture
Nabeel Rajab,"Lost 2 years, may lose ten more, for writing 120 characters on twitter ","Loves his pet rabbits. 
Four of them died when security forces attacked his home with teargas. ","injured, beaten, charged, charged, arrested, arrested, arrested, ",Bahrain,Male,Activist,51,https://en.wikipedia.org/wiki/Nabeel_Rajab,//upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Bahrain_Irish_Delegation_meet_with_Nabeel_Rajab_%28cropped%29.jpg/250px-Bahrain_Irish_Delegation_meet_with_Nabeel_Rajab_%28cropped%29.jpg
Maryam Al-Khawaja,"""He was on hunger strike, they told me he could die at any moment"" Maryam Al-Khawaja got arrested at the Bahraini airport for ""assaulting police"" while she was only trying to visit her hugerstriking father",Played basketball in the national team and no longer can go back. Two empty chairs (for six years) on the ritual friday dinner: Maryam and her father.,arrested,Bahrain,Female,Activist,28,https://en.wikipedia.org/wiki/Maryam_al-Khawaja,//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Maryam-Al-Khawaja.jpg/215px-Maryam-Al-Khawaja.jpg
Abduljalil Al-Singace,"Has been on hungerstrike for more than 300 days now, sentenced to life for defending human rights",,"hunger strike, ",Bahrain,Male,Activist,52,https://en.wikipedia.org/wiki/Abduljalil_al-Singace,//upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Abduljalil_al-Singace_taking_part_in_March_of_royal_court_in_Riffa.JPG/220px-Abduljalil_al-Singace_taking_part_in_March_of_royal_court_in_Riffa.JPG
Hussain Jawad,,Was unable to be their when his baby boy had to have heart surgery because he was in prison,detained ,Bahrain,Male,Activist,28, https://en.wikipedia.org/wiki/Hussain_Jawad,//upload.wikimedia.org/wikipedia/en/thumb/7/78/Hussain_Jawad_Parweez.jpg/250px-Hussain_Jawad_Parweez.jpg
Ghada Jamsheer,Has been under permanent surveillance for nearly 10 years and plainclothes Public Security officials of the Ministry of the Interior are always outside her home. ,,"arrested, re-arrested, detained, hunger strike, injured",Bahrain,Female,Activist,49,https://en.wikipedia.org/wiki/Ghada_Jamshir,http://www.gc4hr.org/uploads/original/Bahrain_18_09_2014.jpg
Saeed Al-Samahiji,,,"Arrested, detained, unfair trial, trumped up charges",Bahrain,Male,Doctor,52,,https://fbcdn-photos-a-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-0/s480x480/424447_389659304380030_270692617_n.jpg?oh=08d9df0f083b6f75697f5e15de045083&oe=56910F0F&__gda__=1451683664_4c6d0ccd3d00ee36b7ff01a0c12181b4
Said Yousif Al-Muhafda,"Twitter posts about anti-government protests have landed him behind bars.

",,"Beaten, arrested, re-arrested, re-arrested, injured, exiled, unfair trial",Bahrain,Male,Activist,34,http://edition.cnn.com/2012/12/20/world/meast/bahrain-activist-arrested/,https://pbs.twimg.com/profile_images/647291415362433024/4OEmm2Gb.png
Mohammed Al-Maskati,"On December 31, Maskati was sentenced to six-months in jail for participating in what Manama regards as illegal protests.",,"Arrested, Unfair trial, tumped up charges, arrested, unfair trial",Bahrain,Male,Activist,28,https://en.wikipedia.org/wiki/Mohammed_al-Maskati,http://media.presstv.com/photo/20150103/766aadda-57a8-40a6-b25e-1de405622448.jpg
Hussain Radhi,,,unfair trial,Bahrain,Male,Activist,32,,https://pbs.twimg.com/profile_images/608175429992640512/apUBYEUb.jpg
Bassel Khartabil,Whereabouts not disclosed as of October 2015 and rumors are Bassel had been secretly sentenced to death,Credited with opening up the Internet in Syria. He was getting married two days after his arrest,"detained, arrested, tortured, ill-treated, unfair trial, no access to lawyer, undisclosed location",Syria,Male,Engineer,34,https://en.wikipedia.org/wiki/Bassel_Khartabil,//upload.wikimedia.org/wikipedia/commons/thumb/8/89/Bassel_Khartabil_%28Safadi%29.jpg/220px-Bassel_Khartabil_%28Safadi%29.jpg
